index,Rsmiles,Psmiles,DE,DG,DH
GZCGUPFRVQAUEE_13_2_1,[C:0]([C:1]([C:3]([C:5](=[O:11])[H:23])([O:9][H:15])[H:20])([O:7][H:13])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17],[C:0]([C:1]1([H:18])[C:3]([O:9][H:15])([H:20])[C:5]([O:11][H:13])([H:23])[O:7]1)([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17],60.04763907399087,58.62507503751552,6.809273422562144
GZCGUPFRVQAUEE_13_2_3,[C:0]([C:1]([C:3]([C:5](=[O:11])[H:23])([O:9][H:15])[H:20])([O:7][H:13])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17],[C:0]([C:1]1([H:18])[C:3]([O:9][H:15])([H:20])[C:5]([O:11][H:13])([H:23])[O:7]1)([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17],57.94924730600968,54.88198086997777,6.809273422562144
GZCGUPFRVQAUEE_156_1_1,[C:0]([C:1]([C:3]([C:5](=[O:11])[H:23])([O:9][H:15])[H:20])([O:7][H:13])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17],[C:0]1([O:6][H:12])([H:17])[C:1]([O:7][H:13])([H:18])[C:3]([O:9][H:15])([H:20])[C:5]([O:8][H:14])([H:23])[O:11][C:2]1([C:4]([O:10][H:16])([H:21])[H:22])[H:19],62.480493405483706,63.325121192491416,-4.853728489483745
GZCGUPFRVQAUEE_156_2_2,[C:0]([C:1]([C:3]([C:5](=[O:11])[H:23])([O:9][H:15])[H:20])([O:7][H:13])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17],[C:0]1([O:6][H:12])([H:17])[C:1]([O:7][H:13])([H:18])[C:3]([O:9][H:15])([H:20])[C:5]([O:11][H:14])([H:23])[O:8][C:2]1([C:4]([O:10][H:16])([H:21])[H:22])[H:19],41.88688663454237,40.51703339600527,-4.853728489483745
GZCGUPFRVQAUEE_156_2_0,[C:0]([C:1]([C:3]([C:5](=[O:11])[H:23])([O:9][H:15])[H:20])([O:7][H:13])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17],[C:0]1([O:6][H:12])([H:17])[C:1]([O:7][H:13])([H:18])[C:3]([O:9][H:15])([H:20])[C:5]([O:11][H:14])([H:23])[O:8][C:2]1([C:4]([O:10][H:16])([H:21])[H:22])[H:19],49.09759829895732,46.82726892798218,-4.853728489483745
GZCGUPFRVQAUEE_156_2_3,[C:0]([C:1]([C:3]([C:5](=[O:11])[H:23])([O:9][H:15])[H:20])([O:7][H:13])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17],[C:0]1([O:6][H:12])([H:17])[C:1]([O:7][H:13])([H:18])[C:3]([O:9][H:15])([H:20])[C:5]([O:11][H:14])([H:23])[O:8][C:2]1([C:4]([O:10][H:16])([H:21])[H:22])[H:19],47.77418076344566,45.14366093952385,-4.853728489483745
GZCGUPFRVQAUEE_15_2_1,[C:0]([C:1]([C:3]([C:5](=[O:11])[H:23])([O:9][H:15])[H:20])([O:7][H:13])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17],[C:0]([C:1]([C:3]([C:5]([O:11][H:12])([H:17])[H:23])([O:9][H:15])[H:20])([O:7][H:13])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])=[O:6],44.46030309396567,40.15245037649834,-0.45100382409181905
GZCGUPFRVQAUEE_15_2_2,[C:0]([C:1]([C:3]([C:5](=[O:11])[H:23])([O:9][H:15])[H:20])([O:7][H:13])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17],[C:0]([C:1]([C:3]([C:5]([O:11][H:12])([H:17])[H:23])([O:9][H:15])[H:20])([O:7][H:13])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])=[O:6],43.42867747600205,39.62157733948321,-0.45100382409181905
GZCGUPFRVQAUEE_15_2_3,[C:0]([C:1]([C:3]([C:5](=[O:11])[H:23])([O:9][H:15])[H:20])([O:7][H:13])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17],[C:0]([C:1]([C:3]([C:5]([O:11][H:12])([H:17])[H:23])([O:9][H:15])[H:20])([O:7][H:13])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])=[O:6],45.36642681196079,40.66826318548015,-0.45100382409181905
GZCGUPFRVQAUEE_15_4_0,[C:0]([C:1]([C:3]([C:5](=[O:11])[H:23])([O:9][H:15])[H:20])([O:7][H:13])[H:18])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17],[C:0]([C:1]([C:3]([C:5]([O:11][H:13])([H:18])[H:23])([O:9][H:15])[H:20])=[O:7])([C:2]([C:4]([O:10][H:16])([H:21])[H:22])([O:8][H:14])[H:19])([O:6][H:12])[H:17],55.64377740298058,51.56057308651678,-0.45100382409181905
